id_sexo;sexo;id_grupo_etario;grupo_etario;anio;tasa_vih
2;Mujeres;1;0 - 9;2015;0,9
2;Mujeres;1;0 - 9;2016;1,1
2;Mujeres;1;0 - 9;2017;0,7
2;Mujeres;1;0 - 9;2018;0,4
2;Mujeres;1;0 - 9;2019;0,6
2;Mujeres;1;0 - 9;2020;0,2
2;Mujeres;1;0 - 9;2021;0,6
2;Mujeres;1;0 - 9;2022;0,3
2;Mujeres;1;0 - 9;2023;0,5
2;Mujeres;2;10 - 14;2014;0,8
2;Mujeres;2;10 - 14;2015;0,9
2;Mujeres;2;10 - 14;2016;0,4
2;Mujeres;2;10 - 14;2017;0,3
2;Mujeres;2;10 - 14;2018;0,4
2;Mujeres;2;10 - 14;2019;0,2
2;Mujeres;2;10 - 14;2020;0,2
2;Mujeres;2;10 - 14;2021;0,6
2;Mujeres;2;10 - 14;2022;0,2
2;Mujeres;2;10 - 14;2023;0,2
2;Mujeres;3;15 - 19;2014;7,1
2;Mujeres;3;15 - 19;2015;8,7
2;Mujeres;3;15 - 19;2016;7
2;Mujeres;3;15 - 19;2017;5,2
2;Mujeres;3;15 - 19;2018;5,6
2;Mujeres;3;15 - 19;2019;5,5
2;Mujeres;3;15 - 19;2020;2,2
2;Mujeres;3;15 - 19;2021;3,9
2;Mujeres;3;15 - 19;2022;3,6
2;Mujeres;3;15 - 19;2023;3,6
2;Mujeres;4;20 - 24;2014;17,9
2;Mujeres;4;20 - 24;2015;15,3
2;Mujeres;4;20 - 24;2016;16,9
2;Mujeres;4;20 - 24;2017;12,9
2;Mujeres;4;20 - 24;2018;14,2
2;Mujeres;4;20 - 24;2019;14,9
2;Mujeres;4;20 - 24;2020;8,2
2;Mujeres;4;20 - 24;2021;11,8
2;Mujeres;4;20 - 24;2022;12,2
2;Mujeres;4;20 - 24;2023;12,8
2;Mujeres;5;25 - 34;2014;19,4
2;Mujeres;5;25 - 34;2015;18,7
2;Mujeres;5;25 - 34;2016;17,1
2;Mujeres;5;25 - 34;2017;13,1
